Team Name,Team Code,Conf Code,Conf Name,Tot Off Pts,Tot Def Pts,Off Pts Per Drive,Def Pts Per Drive,Tot Off Yards,Tot Def Yards,Off Yards Per Drive,Def Yards Per Drive,Tot Expected Off Pts,Tot Expected Def Pts,Off Expected Pts Per Drive,Def Expected Pts Per Drive,Tot Expected Off Yds,Tot Expected Def Yds,Off Expected Yds Per Drive,Def Expected Yds Per Drive,Off Pts Per Drive over Expected,Def Pts Per Drive over Expected,Off Yards Per Drive over Expected,Def Yards Per Drive over Expected
Akron,5,875,Mid-American Conference,192,162,1.90099009901,1.58823529412,2893,2484,28.6435643564,24.3529411765,219.456514756,221.88720847,2.17283677976,2.17536478892,3030.70156964,3041.85085033,30.0069462341,29.8220671601,-0.27184668075,-0.5871294948,-1.36338187767,-1.36338187767
Alabama,8,911,Southeastern Conference,263,170,2.0873015873,1.30769230769,3620,2594,28.7301587302,19.9538461538,292.567377494,278.462244872,2.32196331344,2.14201726825,3677.10309821,3920.47826192,29.1833579223,30.1575250917,-0.234661726141,-0.834324960553,-0.453199192119,-0.453199192119
Appalachian State,27,818,Sun Belt Conference,275,164,2.5462962963,1.50458715596,3741,2837,34.6388888889,26.0275229358,244.657037137,249.562310464,2.26534293646,2.28956248132,3171.73272301,3193.98912508,29.3678955834,29.3026525237,0.28095335984,-0.784975325358,5.27099330548,5.27099330548
Arizona State,28,905,Pac-12 Conference,270,251,2.06106870229,1.91603053435,3960,3581,30.2290076336,27.3358778626,290.327067424,284.098964884,2.21623715591,2.16869438843,3871.12849845,3927.48478567,29.5505992248,29.9807998906,-0.155168453618,-0.252663854076,0.678408408793,0.678408408793
Arizona,29,905,Pac-12 Conference,362,362,2.72180451128,2.6231884058,4987,4549,37.4962406015,32.9637681159,286.100408852,288.922767706,2.15113089362,2.09364324425,4011.19160605,4240.72655384,30.1593353838,30.7299025641,0.570673617657,0.529545161547,7.33690521769,7.33690521769
Arkansas State,30,818,Sun Belt Conference,321,277,2.37777777778,2.03676470588,4014,3989,29.7333333333,29.3308823529,316.272591716,277.255116798,2.34275993864,2.03864056469,3880.34837765,4210.54635469,28.7433213159,30.9598996668,0.0350178391413,-0.00187585881149,0.990012017441,0.990012017441
Arkansas,31,911,Southeastern Conference,273,222,2.65048543689,2.22,3899,3555,37.854368932,35.55,234.271605293,206.481083682,2.27448160479,2.06481083682,3010.01191285,3070.98046167,29.2234166296,30.7098046167,0.376003832104,0.155189163179,8.63095230244,8.63095230244
Auburn,37,911,Southeastern Conference,208,229,2.01941747573,2.16037735849,3137,3730,30.4563106796,35.1886792453,228.433496459,231.856657327,2.2178009365,2.18732695592,3066.37149976,3186.47088163,29.770597085,30.0610460531,-0.19838346077,-0.0269495974277,0.685713594606,0.685713594606
Ball State,47,875,Mid-American Conference,224,330,1.792,2.64,3744,4665,29.952,37.32,264.726962225,257.082455286,2.1178156978,2.05665964229,3800.4590174,3857.19471469,30.4036721392,30.8575577176,-0.3258156978,0.583340357708,-0.451672139219,-0.451672139219
Baylor,51,25354,Big 12 Conference,452,201,4.03571428571,1.76315789474,5147,3164,45.9553571429,27.7543859649,241.48149414,235.59252276,2.15608476911,2.06660107684,3383.93046933,3501.11556396,30.2136649047,30.7115400348,1.87962951661,-0.303443182105,15.7416922381,15.7416922381
Boise State,66,5486,Mountain West Conference,359,144,2.7196969697,1.125,4388,2627,33.2424242424,20.5234375,293.552957458,258.735241697,2.22388604135,2.02136907576,3909.35364705,3975.24581546,29.616315508,31.0566079333,0.495810928346,-0.896369075756,3.62610873446,3.62610873446
Boston College,67,821,Atlantic Coast Conference,180,123,1.33333333333,0.924812030075,2860,2452,21.1851851852,18.4360902256,297.95024314,270.11903678,2.20703883807,2.03097020135,4018.5976672,4102.89031035,29.7673901274,30.848799326,-0.873705504738,-1.10615817128,-8.58220494219,-8.58220494219
Bowling Green,71,875,Mid-American Conference,402,246,3.40677966102,2.15789473684,5244,3915,44.4406779661,34.3421052632,246.356969001,233.820389117,2.08777092374,2.05105604489,3623.70641662,3524.40372935,30.709376412,30.9158221872,1.31900873728,0.106838691957,13.7313015541,13.7313015541
