"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Blocked","Fair Catch","Touchback","Downed","Out Of Bounds"
0501002820060831,30,28,1000115,1,48,0,0,0,1,0
0501002820060831,37,501,74668,1,24,0,0,0,1,0
0501002820060831,62,28,1000115,1,53,0,0,0,0,0
0501002820060831,71,28,1000115,1,58,0,0,0,0,0
0501002820060831,79,501,74668,1,12,0,0,0,0,1
0501002820060831,98,28,1000115,1,38,0,1,0,0,0
0501002820060831,111,501,74668,1,41,0,0,0,0,0
0501002820060831,128,501,74668,1,56,0,0,0,0,0
0501002820060831,139,501,74668,1,68,0,0,0,0,0
0204004720060831,13,204,64679,1,44,0,0,0,1,0
0204004720060831,22,47,87409,1,34,0,0,0,0,0
0204004720060831,26,204,64679,1,39,0,1,0,0,0
0204004720060831,32,47,87409,1,41,0,0,0,1,0
0204004720060831,74,204,64679,1,29,0,0,0,1,0
0204004720060831,102,47,87409,1,43,0,0,0,0,0
0204004720060831,106,204,64679,1,27,0,0,0,1,0
0204004720060831,136,204,64679,1,42,0,0,0,1,0
0204004720060831,141,47,87409,1,32,0,0,0,0,0
0204004720060831,174,47,87409,1,42,0,0,0,0,0
0102006620060831,6,102,61484,1,49,0,0,0,0,0
0102006620060831,18,102,61484,1,51,0,0,0,0,0
0102006620060831,40,102,61484,1,24,0,0,0,0,1
0102006620060831,54,102,61484,1,51,0,0,1,0,0
0102006620060831,59,66,66051,1,52,0,0,0,0,0
0102006620060831,63,102,61484,1,44,0,0,0,0,0
0102006620060831,71,66,66051,1,49,0,0,0,1,0
0102006620060831,78,102,61484,1,40,0,0,0,0,0
0102006620060831,93,102,61484,1,40,0,0,0,0,0
0102006620060831,97,66,66051,1,51,0,1,0,0,0
0102006620060831,101,102,61484,1,44,0,0,0,0,0
0102006620060831,120,102,61484,1,50,0,0,0,0,0
0102006620060831,133,66,66051,1,49,0,0,0,0,0
0102006620060831,139,102,61484,1,46,0,0,0,1,0
0690008620060831,9,86,68640,1,50,0,0,1,0,0
0690008620060831,15,690,1003592,1,45,0,1,0,0,0
0690008620060831,24,86,68640,1,20,0,0,0,1,0
0690008620060831,32,690,1003592,1,55,0,0,0,1,0
0690008620060831,36,86,68640,1,43,0,0,0,0,0
0690008620060831,40,690,1003592,1,32,0,0,0,1,0
0690008620060831,64,690,1003592,1,35,0,0,0,1,0
0690008620060831,70,86,68640,1,24,0,0,0,0,1
0690008620060831,77,690,1003592,1,42,0,0,0,1,0
0690008620060831,93,690,1003592,1,42,0,0,1,0,0
0690008620060831,101,86,68640,1,48,0,0,0,0,0
0690008620060831,106,690,1003592,1,29,0,0,0,0,0
0690008620060831,115,690,1003592,1,39,0,0,0,0,0
0067012920060831,5,129,64444,1,36,0,0,0,1,0
0067012920060831,20,129,64444,1,39,0,1,0,0,0
0067012920060831,49,67,69972,1,52,0,0,0,0,0
0067012920060831,60,129,64444,1,45,0,0,1,0,0
0067012920060831,89,129,64444,1,46,0,0,0,0,0
0067012920060831,101,67,69972,1,36,0,0,0,1,0
0067012920060831,106,129,64444,1,39,0,1,0,0,0
0067012920060831,112,67,69972,1,36,0,0,0,0,0
0067012920060831,117,129,64444,1,39,0,0,0,0,0
0067012920060831,147,129,64444,1,52,0,0,0,1,0
0067012920060831,170,67,69972,1,39,0,1,0,0,0
0067012920060831,192,67,69972,1,36,0,0,0,1,0
0572016420060831,23,572,1006554,1,31,0,0,0,0,0
0572016420060831,55,572,1006554,1,43,0,0,0,0,0
0572016420060831,87,572,1006554,1,32,0,1,0,0,0
0572016420060831,93,164,66614,1,0,1,0,0,0,0
0572016420060831,112,164,70638,1,29,0,1,0,0,0
0572016420060831,117,572,1006554,1,39,0,1,0,0,0
0572016420060831,135,572,1006554,1,53,0,0,0,1,0
0572016420060831,157,572,1006554,1,52,0,1,0,0,0
0709031120060831,27,709,1003852,1,48,0,0,0,1,0
0709031120060831,41,311,1001488,1,36,0,0,0,1,0
0709031120060831,87,709,1003852,1,39,0,0,0,0,0
0709031120060831,154,311,1001488,1,31,0,1,0,0,0
0709031120060831,158,709,75247,1,46,0,1,0,0,0
0428033120060831,9,331,1001662,1,34,0,0,0,0,0
0428033120060831,21,331,1001662,1,32,0,1,0,0,0
0428033120060831,145,428,74140,1,34,0,0,0,0,1
0509041420060831,17,414,69445,1,45,0,0,0,1,0
0509041420060831,21,509,50158,1,27,0,0,0,1,0
0509041420060831,29,414,69445,1,23,0,0,0,0,0
0509041420060831,34,509,50158,1,41,0,0,0,1,0
0509041420060831,41,414,69445,1,45,0,0,0,1,0
0509041420060831,50,509,50158,1,43,0,0,0,0,1
0509041420060831,59,414,69445,1,69,0,0,1,0,0
0509041420060831,68,509,50158,1,43,0,0,0,1,0
0509041420060831,73,414,67011,1,0,1,0,0,0,0
0509041420060831,120,414,69445,1,44,0,0,0,0,0
0509041420060831,129,509,50158,1,49,0,0,1,0,0
0509041420060831,139,509,50158,1,40,0,0,0,1,0
0231041920060831,25,419,49285,1,46,0,1,0,0,0
0231041920060831,33,231,1001045,1,34,0,0,0,1,0
0231041920060831,38,419,49285,1,36,0,0,0,0,0
0231041920060831,49,231,1001045,1,44,0,0,0,0,0
0231041920060831,56,419,49285,1,33,0,1,0,0,0
0231041920060831,63,231,1001045,1,29,0,0,0,0,0
0231041920060831,83,419,49285,1,38,0,0,0,0,0
0231041920060831,88,231,1001045,1,44,0,0,0,0,0
0231041920060831,96,419,49285,1,46,0,1,0,0,0
0231041920060831,100,231,1001045,1,26,0,0,0,1,0
0231041920060831,114,419,49285,1,41,0,1,0,0,0
0231041920060831,118,231,1001045,1,21,0,0,0,1,0
0231041920060831,123,419,49285,1,39,0,1,0,0,0
0231041920060831,130,231,1001045,1,35,0,0,0,1,0
0231041920060831,134,419,49285,1,79,0,0,0,1,0
0231041920060831,141,231,1001045,1,39,0,0,0,0,1
0231041920060831,152,419,49285,1,33,0,0,0,0,0
0648043020060831,14,648,84527,1,43,0,1,0,0,0
0648043020060831,19,430,82690,1,44,0,0,0,0,0
0648043020060831,30,648,84527,1,46,0,0,0,0,0
0648043020060831,34,430,82690,1,37,0,0,0,0,0
0648043020060831,47,430,82690,1,48,0,1,0,0,0
0648043020060831,51,648,84527,1,55,0,0,0,0,0
0648043020060831,55,430,82690,1,37,0,1,0,0,0
0648043020060831,60,648,84527,1,58,0,0,0,1,0
0648043020060831,102,430,82690,1,34,0,1,0,0,0
0648043020060831,108,648,84527,1,48,0,0,0,0,1
0648043020060831,135,430,82690,1,40,0,0,0,0,0
0648043020060831,141,648,84527,1,42,0,0,0,1,0
0648043020060831,147,430,82690,1,51,0,0,0,0,1
0655047220060831,39,472,75034,1,51,0,0,0,1,0
0655047220060831,79,655,65308,1,53,0,0,0,0,0
0655047220060831,110,655,65308,1,38,0,1,0,0,0
0655047220060831,118,472,75034,1,44,0,1,0,0,0
0655047220060831,122,655,65308,1,57,0,0,0,1,0
0655047220060831,162,472,75034,1,20,0,0,0,0,1
0655047220060831,166,655,65308,1,48,0,0,0,0,1
0017049820060831,46,17,1007605,1,33,0,0,0,0,0
0017049820060831,70,17,1007605,1,40,0,0,0,0,0
0017049820060831,74,498,57687,1,27,0,0,0,0,0
0017049820060831,80,17,1007605,1,40,0,0,0,0,0
0017049820060831,84,498,57687,1,60,0,0,0,0,0
0017049820060831,100,498,57687,1,46,0,0,1,0,0
0017049820060831,105,17,1007605,1,43,0,1,0,0,0
0017049820060831,114,17,1007605,1,43,0,0,0,0,0
0017049820060831,118,498,57687,1,36,0,0,0,0,1
0207052820060831,12,207,62679,1,40,0,0,0,0,0
0207052820060831,43,207,62679,1,34,0,1,0,0,0
0207052820060831,49,528,1002936,1,43,0,1,0,0,0
0207052820060831,53,207,62679,1,40,0,0,0,0,0
0207052820060831,72,207,62679,1,45,0,1,0,0,0
0207052820060831,112,528,1002936,1,32,0,1,0,0,0
0207052820060831,116,207,62679,1,34,0,0,0,0,0
0207052820060831,131,528,1002936,1,16,0,0,0,0,1
0207052820060831,135,207,62679,1,30,0,0,0,0,1
0207052820060831,141,528,1002936,1,10,0,0,0,0,1
0207052820060831,145,207,62679,1,16,0,0,0,1,0
