"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0414004720070830,1,47,1,900,80,"KICKOFF",1,710,56,"PUNT",6,24,190,0
0414004720070830,2,414,1,710,81,"PUNT",1,488,15,"MISSED FIELD GOAL",8,66,222,1
0414004720070830,3,47,1,488,80,"MISSED FIELD GOAL",1,377,26,"MISSED FIELD GOAL",8,54,111,0
0414004720070830,4,414,1,377,74,"MISSED FIELD GOAL",1,333,72,"INTERCEPTION",2,2,44,0
0414004720070830,5,47,1,333,37,"INTERCEPTION",1,120,3,"FIELD GOAL",8,34,213,1
0414004720070830,6,414,1,113,68,"KICKOFF",2,777,28,"MISSED FIELD GOAL",9,40,236,0
0414004720070830,7,47,2,777,72,"MISSED FIELD GOAL",2,707,67,"PUNT",3,5,70,0
0414004720070830,8,414,2,707,50,"PUNT",2,503,0,"TOUCHDOWN",7,50,204,0
0414004720070830,9,47,2,497,85,"KICKOFF",2,238,38,"PUNT",11,47,259,0
0414004720070830,10,414,2,238,95,"PUNT",2,89,94,"PUNT",3,1,149,0
0414004720070830,11,47,2,89,12,"PUNT",2,37,6,"DOWNS",4,6,52,1
0414004720070830,12,414,2,37,94,"DOWNS",2,0,95,"END OF HALF",1,-1,37,0
0414004720070830,13,414,3,900,65,"KICKOFF",3,814,59,"PUNT",3,6,86,0
0414004720070830,14,47,3,814,56,"PUNT",3,750,54,"PUNT",3,2,64,0
0414004720070830,15,414,3,750,87,"PUNT",3,561,65,"PUNT",5,22,189,0
0414004720070830,16,47,3,561,97,"PUNT",3,224,5,"FIELD GOAL",17,92,337,1
0414004720070830,17,414,3,180,82,"KICKOFF",3,82,76,"PUNT",3,6,98,0
0414004720070830,18,47,3,82,79,"PUNT",4,871,81,"PUNT",3,-2,111,0
0414004720070830,19,414,4,871,87,"PUNT",4,716,70,"PUNT",4,17,155,0
0414004720070830,20,47,4,716,67,"PUNT",4,682,0,"TOUCHDOWN",5,67,34,0
0414004720070830,21,414,4,676,78,"KICKOFF",4,256,9,"INTERCEPTION",15,69,420,1
0414004720070830,22,47,4,256,80,"INTERCEPTION",4,114,71,"PUNT",3,9,142,0
0414004720070830,23,414,4,114,23,"PUNT",4,17,0,"TOUCHDOWN",5,23,97,1
0414004720070830,24,47,4,14,53,"KICKOFF",4,0,53,"END OF HALF",2,0,14,0
0758006620070830,1,758,1,900,63,"KICKOFF",1,837,63,"PUNT",3,0,63,0
0758006620070830,2,66,1,837,80,"PUNT",1,568,0,"TOUCHDOWN",13,80,269,1
0758006620070830,3,758,1,568,80,"KICKOFF",1,463,74,"PUNT",3,6,105,0
0758006620070830,4,66,1,463,64,"PUNT",1,394,0,"TOUCHDOWN",3,64,69,0
0758006620070830,5,758,1,394,74,"KICKOFF",1,250,65,"PUNT",3,9,144,0
0758006620070830,6,66,1,250,88,"PUNT",1,124,0,"TOUCHDOWN",6,88,126,1
0758006620070830,7,758,1,124,77,"KICKOFF",1,52,75,"PUNT",3,2,72,0
0758006620070830,8,66,1,52,54,"PUNT",1,43,0,"TOUCHDOWN",1,54,9,0
0758006620070830,9,758,1,43,73,"KICKOFF",2,836,66,"PUNT",3,7,107,0
0758006620070830,10,66,2,836,63,"PUNT",2,593,0,"TOUCHDOWN",13,63,243,1
0758006620070830,11,758,2,593,72,"KICKOFF",2,481,65,"PUNT",3,7,112,0
0758006620070830,12,66,2,481,14,"PUNT",2,469,0,"TOUCHDOWN",2,14,12,1
0758006620070830,13,758,2,469,67,"KICKOFF",2,391,59,"FUMBLE",4,8,78,0
0758006620070830,14,66,2,391,41,"FUMBLE",2,308,0,"TOUCHDOWN",4,41,83,1
0758006620070830,15,758,2,308,69,"KICKOFF",2,230,68,"PUNT",3,1,78,0
0758006620070830,16,66,2,230,10,"PUNT",2,134,2,"DOWNS",4,8,96,1
0758006620070830,17,758,2,134,98,"DOWNS",2,25,58,"FUMBLE",4,40,109,0
0758006620070830,18,66,2,25,40,"FUMBLE",2,0,42,"END OF HALF",1,-2,25,0
0758006620070830,19,66,3,900,90,"KICKOFF",3,649,0,"TOUCHDOWN",11,90,251,1
0758006620070830,20,758,3,649,66,"KICKOFF",3,540,60,"PUNT",3,6,109,0
0758006620070830,21,66,3,540,66,"PUNT",3,403,75,"PUNT",3,-9,137,0
0758006620070830,22,758,3,403,58,"PUNT",3,220,0,"TOUCHDOWN",7,58,183,0
0758006620070830,23,66,3,220,68,"KICKOFF",3,100,48,"PUNT",5,20,120,0
0758006620070830,24,758,3,100,90,"PUNT",4,829,75,"PUNT",5,15,171,0
0758006620070830,25,66,4,829,46,"PUNT",4,742,34,"DOWNS",6,12,87,0
0758006620070830,26,758,4,742,66,"DOWNS",4,600,53,"PUNT",5,13,142,0
0758006620070830,27,66,4,600,77,"PUNT",4,271,45,"PUNT",10,32,329,0
0758006620070830,28,758,4,271,73,"PUNT",4,200,69,"PUNT",3,4,71,0
0758006620070830,29,66,4,200,68,"PUNT",4,125,53,"INTERCEPTION",3,15,75,0
0758006620070830,30,758,4,125,52,"INTERCEPTION",4,0,53,"END OF HALF",4,-1,125,0
0654014020070830,1,140,1,900,74,"KICKOFF",1,783,0,"TOUCHDOWN",6,74,117,1
0654014020070830,2,654,1,775,57,"KICKOFF",1,655,28,"INTERCEPTION",6,29,120,0
0654014020070830,3,140,1,655,80,"INTERCEPTION",1,517,30,"MISSED FIELD GOAL",10,50,138,0
0654014020070830,4,654,1,517,70,"MISSED FIELD GOAL",1,422,65,"PUNT",3,5,95,0
0654014020070830,5,140,1,422,81,"PUNT",1,216,28,"INTERCEPTION",11,53,206,0
0654014020070830,6,654,1,216,45,"INTERCEPTION",1,89,57,"PUNT",3,-12,127,0
0654014020070830,7,140,1,89,91,"PUNT",1,42,53,"FUMBLE",2,38,47,0
0654014020070830,8,654,1,42,42,"FUMBLE",2,892,29,"FUMBLE",2,13,50,0
0654014020070830,9,140,2,892,71,"FUMBLE",2,747,0,"TOUCHDOWN",6,71,145,0
0654014020070830,10,654,2,740,66,"KICKOFF",2,491,7,"FIELD GOAL",13,59,249,1
0654014020070830,11,140,2,485,59,"KICKOFF",2,202,0,"TOUCHDOWN",10,59,283,1
0654014020070830,12,654,2,194,58,"KICKOFF",2,32,19,"FUMBLE",5,39,162,0
0654014020070830,13,140,2,32,81,"FUMBLE",2,0,71,"PUNT",4,10,32,0
0654014020070830,14,654,3,893,81,"KICKOFF",3,715,66,"INTERCEPTION",5,15,178,0
0654014020070830,15,654,3,705,90,"KICKOFF",3,667,90,"FUMBLE",1,0,38,0
0654014020070830,16,140,3,667,1,"FUMBLE",3,626,0,"TOUCHDOWN",2,1,41,1
0654014020070830,17,654,3,619,74,"KICKOFF",3,461,72,"PUNT",3,2,158,0
0654014020070830,18,140,3,461,57,"PUNT",3,367,0,"TOUCHDOWN",8,57,94,1
0654014020070830,19,654,3,361,92,"KICKOFF",3,174,58,"PUNT",6,34,187,0
0654014020070830,20,140,3,174,82,"PUNT",4,895,0,"TOUCHDOWN",10,82,179,1
0654014020070830,21,654,4,888,79,"KICKOFF",4,880,82,"FUMBLE",1,-3,8,0
0654014020070830,22,140,4,880,18,"FUMBLE",4,798,0,"TOUCHDOWN",4,18,82,1
0654014020070830,23,654,4,789,70,"KICKOFF",4,578,33,"MISSED FIELD GOAL",10,37,211,0
0654014020070830,24,140,4,578,67,"MISSED FIELD GOAL",4,321,0,"TOUCHDOWN",9,67,257,1
0654014020070830,25,654,4,315,81,"KICKOFF",4,178,74,"PUNT",3,7,137,0
0654014020070830,26,140,4,178,59,"PUNT",4,16,53,"PUNT",3,6,162,0
0654014020070830,27,654,4,16,80,"PUNT",4,0,80,"END OF HALF",1,0,16,0
0331031120070830,1,331,1,900,80,"KICKOFF",1,803,75,"PUNT",3,5,97,0
0331031120070830,2,311,1,803,65,"PUNT",1,598,45,"PUNT",5,20,205,0
0331031120070830,3,331,1,598,88,"PUNT",1,491,87,"PUNT",3,1,107,0
0331031120070830,4,311,1,491,52,"PUNT",1,350,47,"FUMBLE",5,5,141,0
0331031120070830,5,331,1,350,53,"FUMBLE",1,255,6,"FUMBLE",4,47,95,1
0331031120070830,6,311,1,255,94,"FUMBLE",1,38,38,"PUNT",8,56,217,0
0331031120070830,7,331,1,38,97,"PUNT",2,688,49,"PUNT",10,48,250,0
0331031120070830,8,311,2,688,90,"PUNT",2,610,85,"INTERCEPTION",3,5,78,0
0331031120070830,9,331,2,610,23,"INTERCEPTION",2,530,28,"INTERCEPTION",3,-5,80,0
0331031120070830,10,311,2,530,84,"INTERCEPTION",2,328,27,"MISSED FIELD GOAL",9,57,202,0
0331031120070830,11,331,2,328,72,"MISSED FIELD GOAL",2,273,0,"TOUCHDOWN",4,72,55,0
0331031120070830,12,311,2,263,56,"KICKOFF",2,72,0,"TOUCHDOWN",7,56,191,1
0331031120070830,13,331,2,63,32,"KICKOFF",2,2,7,"FIELD GOAL",7,25,61,1
0331031120070830,14,311,2,2,55,"KICKOFF",2,0,57,"END OF HALF",1,-2,2,0
0331031120070830,15,311,3,892,58,"KICKOFF",3,779,0,"TOUCHDOWN",5,58,113,1
0331031120070830,16,331,3,779,65,"KICKOFF",3,617,12,"INTERCEPTION",8,53,162,1
