"Game Code","Attendance","Duration"
0086058720070830,43091,195
0331031120070830,47313,178
0365043020070830,50112,204
0414004720070830,15488,184
0454036720070830,42185,186
0465073120070830,15102,177
0654014020070830,20223,204
0655047220070830,12682,194
0719049820070830,22022,220
0732052820070830,40409,205
0758006620070830,30278,198
0726069020070831,30368,195
0756068820070831,40329,193
0009041620070901,67796,202
0027041820070901,109218,217
0029007720070901,64525,191
0030070320070901,84440,194
0051069820070901,35606,193
0071042820070901,49253,218
0102009620070901,35963,163
0110067420070901,38860,220
0128049020070901,57283,200
0129032820070901,46815,191
0156015720070901,68133,215
0164019320070901,17251,192
0196074220070901,66233,189
0202033420070901,66512,196
0204054520070901,36183,168
0231053920070901,107678,204
0255051320070901,80795,207
0288052920070901,57662,205
0295065720070901,90917,196
0305030620070901,34715,218
0312050320070901,61500,188
0317045720070901,58500,173
0327003720070901,86439,222
0388041520070901,39830,193
0419022920070901,11398,188
0433040420070901,45457,201
0434030120070901,62352,229
0440069720070901,79438,197
0466046320070901,84078,213
0473070420070901,43326,184
0483057420070901,11859,188
0497052220070901,84472,222
0500050920070901,16199,178
0502027720070901,40252,182
0521025720070901,92746,185
0559070920070901,26100,220
0575073620070901,32215,196
0630002820070901,54405,177
0647072120070901,39364,172
0671064820070901,78234,184
0694010720070901,72516,224
0695066420070901,29253,193
0716003120070901,73926,208
0725000520070901,17865,197
0739039220070901,50389,186
0746081120070901,31620,172
0749006720070901,42292,226
0754079620070901,81547,204
0769000820070901,92138,197
0772023520070901,90086,170
0774076820070901,60563,213
0817051820070901,105038,179
1004036620070901,20240,202
1068065120070901,33639,211
1092051920070901,19823,147
0234014720070903,83000,217
0700066320070903,26969,214
0419036720070906,40882,234
0528014020070906,25020,200
0726058720070907,43514,199
0005051820070908,104317,177
0008073620070908,39773,191
0009023420070908,78673,215
0047020420070908,5794,190
0066075620070908,70045,192
0071041620070908,67276,200
0077011020070908,72986,205
0086069020070908,15629,174
0090029520070908,9820,184
0096069720070908,75922,261
0107015620070908,27805,184
0157002820070908,58417,221
0193074620070908,58554,187
0201055920070908,52504,210
0229052120070908,38176,207
0261054520070908,30852,185
0277036620070908,22135,263
0306077420070908,32129,247
0331033420070908,67380,205
0380016420070908,35413,183
0392023120070908,12201,159
0414042820070908,45383,263
0415052220070908,85357,201
0430071820070908,31076,188
0434043320070908,50897,200
0457019620070908,43387,217
0463074920070908,32483,210
0466050920070908,17653,227
0472047320070908,41033,204
0490006720070908,42513,203
0497066320070908,20517,212
0498014720070908,77000,204
0501002920070908,52638,216
0504031120070908,56795,191
0513053920070908,110078,197
0519067120070908,22186,189
0529041820070908,109733,204
0572072520070908,27601,190
0574005120070908,29107,199
0625025520070908,43288,205
0626075420070908,46290,198
0630032720070908,45545,200
0648025720070908,92746,217
0651003720070908,82617,221
0655032820070908,43914,183
0659050320070908,24182,178
0664069420070908,106311,205
0688031220070908,70585,179
0698070320070908,84621,219
0704070020070908,52403,220
0709012920070908,22031,202
0716023520070908,90244,205
0721073220070908,43454,212
0731081120070908,19443,202
0742036520070908,92739,196
0768038820070908,40383,204
0771030120070908,48301,190
0796046520070908,38250,178
0698072120070913,31556,195
0768039220070913,53107,189
0521071620070914,24102,235
0005030620070915,31196,210
0017000920070915,21828,173
0031000820070915,92138,222
0047072620070915,32087,194
0067025520070915,51112,224
0077071920070915,24445,237
0086053920070915,107506,193
0096052920070915,58525,203
0110073220070915,43056,199
0129055920070915,60038,203
0140041420070915,22421,218
0141079620070915,80327,200
0178033120070915,8455,168
0193050920070915,23716,199
0204050320070915,20012,204
0231041520070915,40915,196
0234015720070915,52951,211
0244014720070915,79215,179
0277046520070915,38125,204
0288071820070915,21311,180
0294052820070915,38491,208
0295075420070915,32064,210
0301068820070915,34188,186
0312031120070915,49516,183
0315040420070915,28298,186
0366010720070915,58057,194
0367033420070915,70857,210
0402067120070915,33828,180
0419036520070915,92407,184
0428022920070915,10759,209
0430003720070915,82129,187
0433073620070915,34180,191
0469038820070915,27255,209
0473002920070915,51996,213
0483046620070915,15233,203
0485058720070915,43712,225
0498069720070915,77309,208
0513041820070915,111178,182
0518075620070915,74927,199
0519074220070915,66233,188
0545041620070915,68620,203
0626002820070915,54617,190
0630067420070915,36144,195
0647064820070915,73095,186
0657046320070915,84959,236
0663003020070915,17465,235
0664019620070915,43041,190
0669032720070915,46825,211
0670005120070915,36274,219
0690016420070915,33810,190
0694023520070915,90707,219
0700057420070915,21543,221
0703012820070915,45622,223
0704047220070915,30343,206
0709032820070915,48112,201
0725074920070915,32142,174
0731052220070915,84403,183
0746045720070915,58000,191
0769025720070915,92746,189
0774043420070915,53480,195
0811006620070915,30199,190
2915049020070915,56039,230
0697041520070920,44622,182
0772041920070920,22086,201
0522071920070921,35542,224
0029010720070922,56021,210
0030069420070922,102368,205
0047046320070922,84294,196
0048027720070922,37723,227
0051008620070922,22676,213
0102047320070922,27023,174
0127077420070922,15718,165
0147049020070922,56903,220
0156028820070922,22468,207
0164054520070922,40145,194
0193072620070922,31278,218
0196076820070922,60021,180
0229049720070922,20479,230
0231032820070922,42134,199
0235043320070922,55032,202
0255074620070922,57681,230
0257000820070922,92138,214
0290020420070922,10141,203
0299043420070922,56137,184
0301030620070922,34707,213
0311070920070922,15219,197
0312079620070922,82630,202
0331000520070922,21867,220
0334003120070922,74015,213
0388014020070922,35097,209
0392074920070922,31964,212
0404012820070922,42153,200
0414015720070922,45243,184
0416051320070922,80795,199
0457065120070922,37693,201
0472003720070922,83012,203
0493012920070922,16522,190
0503029520070922,12461,217
0509051820070922,105178,189
0528002820070922,56099,220
0529067420070922,35019,213
0539041820070922,111310,192
0550062620070922,53110,199
0559042820070922,47483,210
0574070320070922,84571,213
0630073120070922,13685,206
0648036520070922,92530,213
0655071820070922,17611,207
0663069820070922,31511,187
0688036720070922,40922,220
0690007120070922,16482,234
0699070420070922,35336,194
0700052120070922,37850,242
0716067120070922,14091,230
0721007720070922,64502,172
0725006720070922,40329,210
0732046520070922,23180,194
0754065720070922,86876,205
0756011020070922,72124,213
0786074220070922,66233,194
0811051920070922,16781,210
1092043020070922,42272,205
0404003020070927,27774,204
0664006620070927,30159,212
0768065120070928,67018,192
