"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0048041520080828,08/28/2008,48,415,30,TEAM
0201012920080828,08/28/2008,201,129,70,TEAM
0202014020080828,08/28/2008,202,140,97,TEAM
0283016420080828,08/28/2008,283,164,25,TEAM
0305020420080828,08/28/2008,305,204,71,TEAM
0315025520080828,08/28/2008,315,255,37,TEAM
0490064820080828,08/28/2008,490,648,113,TEAM
0500004720080828,08/28/2008,500,47,48,TEAM
0528067420080828,08/28/2008,528,674,19,TEAM
0649031120080828,08/28/2008,649,311,40,TEAM
0704008620080828,08/28/2008,704,86,91,TEAM
0716041920080828,08/28/2008,716,419,116,TEAM
0736041420080828,08/28/2008,736,414,101,TEAM
0749005120080828,08/28/2008,749,51,132,TEAM
0663057420080829,08/29/2008,663,574,127,TEAM
0690072520080829,08/29/2008,690,725,93,TEAM
0005079620080830,08/30/2008,5,796,141,TEAM
0008014720080830,08/30/2008,8,147,38,NEUTRAL
0027036520080830,08/30/2008,27,365,55,TEAM
0030069720080830,08/30/2008,30,697,120,TEAM
0067033120080830,08/30/2008,67,331,98,NEUTRAL
0071054520080830,08/30/2008,71,545,110,TEAM
0090062620080830,08/30/2008,90,626,16,TEAM
0108063020080830,08/30/2008,108,630,18,TEAM
0149053920080830,08/30/2008,149,539,111,TEAM
0180039220080830,08/30/2008,180,392,64,TEAM
0207070020080830,08/30/2008,207,700,129,TEAM
0229070320080830,08/30/2008,229,703,119,TEAM
0231032820080830,08/30/2008,231,328,51,TEAM
0253025720080830,08/30/2008,253,257,36,TEAM
0261046620080830,08/30/2008,261,466,90,TEAM
0277023520080830,08/30/2008,277,235,27,TEAM
0294006620080830,08/30/2008,294,66,42,TEAM
0295002920080830,08/30/2008,295,29,11,TEAM
0299038820080830,08/30/2008,299,388,142,TEAM
0301043420080830,08/30/2008,301,434,149,NEUTRAL
0317019320080830,08/30/2008,317,193,80,TEAM
0380031220080830,08/30/2008,380,312,41,TEAM
0402045720080830,08/30/2008,402,457,78,TEAM
0404043320080830,08/30/2008,404,433,76,TEAM
0416010720080830,08/30/2008,416,107,12,TEAM
0430036620080830,08/30/2008,430,366,59,TEAM
0497032720080830,08/30/2008,497,327,52,TEAM
0498003720080830,08/30/2008,498,37,1,TEAM
0501002820080830,08/30/2008,501,28,10,TEAM
