"Game Code","Play Number","Team Code","Player Code","Reception","Yards","Touchdown","1st Down","Fumble","Fumble Lost","Safety"
0497004720090903,4,47,1015529,1,2,0,0,0,0,0
0497004720090903,7,497,1025325,1,19,0,1,0,0,0
0497004720090903,12,497,1025325,1,5,0,0,0,0,0
0497004720090903,18,47,1023156,1,14,0,1,0,0,0
0497004720090903,22,47,1015504,1,4,0,0,0,0,0
0497004720090903,26,497,1010324,1,19,0,1,0,0,0
0497004720090903,27,497,1025325,1,-3,0,0,0,0,0
0497004720090903,31,497,1010322,1,2,0,0,0,0,0
0497004720090903,39,47,1000282,1,10,0,0,0,0,0
0497004720090903,46,497,1025297,1,16,0,1,0,0,0
0497004720090903,48,497,1025325,1,6,0,0,0,0,0
0497004720090903,51,497,1010345,1,5,0,0,0,0,0
0497004720090903,53,497,1010345,1,8,0,1,0,0,0
0497004720090903,54,497,1017575,1,5,0,0,0,0,0
0497004720090903,59,47,1023156,1,6,0,0,0,0,0
0497004720090903,60,47,1015530,1,2,0,0,0,0,0
0497004720090903,65,497,1025297,1,-5,0,0,0,0,0
0497004720090903,71,497,1010322,1,7,0,0,0,0,0
0497004720090903,76,497,1010322,1,11,0,1,0,0,0
0497004720090903,81,497,1025299,1,6,0,0,0,0,0
0497004720090903,86,47,1015530,1,10,0,1,0,0,0
0497004720090903,87,47,1023165,1,2,0,0,0,0,0
0497004720090903,94,497,1010322,1,4,0,0,0,0,0
0497004720090903,95,497,1025325,1,7,0,1,0,0,0
0497004720090903,103,497,1017575,1,1,0,0,0,0,0
0497004720090903,105,47,1008200,1,19,0,1,0,0,0
0497004720090903,109,47,1015504,1,34,0,1,0,0,0
0497004720090903,124,497,1025327,1,6,0,0,0,0,0
0497004720090903,128,47,1000282,1,-2,0,0,0,0,0
0497004720090903,132,497,1025297,1,16,0,1,0,0,0
0497004720090903,145,47,1015530,1,8,0,0,0,0,0
0497004720090903,149,497,1025325,1,5,0,0,0,0,0
0497004720090903,150,497,1025297,1,59,0,1,0,0,0
0497004720090903,152,497,1025325,1,4,1,0,0,0,0
0497004720090903,159,497,1017559,1,13,0,1,0,0,0
0497004720090903,166,47,1023156,1,5,0,0,0,0,0
0497004720090903,171,47,1023156,1,22,0,1,0,0,0
0497004720090903,173,47,1000282,1,4,0,0,0,0,0
0529006620090903,2,529,1003360,1,1,0,0,0,0,0
0529006620090903,8,66,1008301,1,7,0,1,0,0,0
0529006620090903,9,66,1008299,1,11,0,1,0,0,0
0529006620090903,10,66,1008283,1,14,0,1,0,0,0
