"Game Code","Play Number","Team Code","Passer Player Code","Receiver Player Code","Attempt","Completion","Yards","Touchdown","Interception","1st Down","Dropped"
0229000920100902,8,9,1015271,1007973,1,0,0,0,0,0,0
0229000920100902,13,229,1000993,1001023,1,0,0,0,0,0,0
0229000920100902,14,229,1000993,1008901,1,1,11,0,0,1,0
0229000920100902,16,229,1000993,1016195,1,0,0,0,0,0,0
0229000920100902,17,229,1000993,1008921,1,1,12,0,0,0,0
0229000920100902,20,9,1015271,1000098,1,0,0,0,0,0,0
0229000920100902,23,229,1000993,1001023,1,0,0,0,0,0,0
0229000920100902,25,229,1000993,1000992,1,1,3,0,0,0,0
0229000920100902,30,229,1000993,1008921,1,1,9,0,0,0,0
0229000920100902,32,229,1000993,1008921,1,0,0,0,0,0,0
0229000920100902,35,9,1015271,1003878,1,1,6,0,0,0,0
0229000920100902,36,9,1015271,1030887,1,1,5,0,0,1,0
0229000920100902,43,229,1000993,1008921,1,1,6,0,0,0,0
0229000920100902,47,229,1000993,1008921,1,1,9,0,0,1,0
0229000920100902,49,229,1000993,1008921,1,0,0,0,0,0,0
0229000920100902,50,229,1000993,1008921,1,1,25,1,0,1,0
0229000920100902,54,9,1015271,1000084,1,1,1,0,0,0,0
0229000920100902,56,9,1015271,1030882,1,1,4,0,0,0,0
0229000920100902,58,9,1015271,1007973,1,0,0,0,0,0,0
0229000920100902,65,9,1015271,1000089,1,1,10,0,0,0,0
0229000920100902,70,229,1000993,1008921,1,1,77,1,0,1,0
0229000920100902,75,9,1015271,1030887,1,1,9,0,0,0,0
0229000920100902,77,9,1015271,1015306,1,0,0,0,0,0,0
0229000920100902,78,9,1015271,1003878,1,1,13,0,0,1,0
0229000920100902,80,9,1015271,1022924,1,1,15,1,0,1,0
0229000920100902,93,9,1015271,1030882,1,0,0,0,0,0,0
0229000920100902,97,229,1000993,1008921,1,1,19,0,0,1,0
0229000920100902,107,9,1015271,,1,0,0,0,1,0,0
0229000920100902,112,9,1015271,1022920,1,0,0,0,0,0,0
0229000920100902,115,229,1000993,1000992,1,0,0,0,0,0,0
0229000920100902,116,229,1000993,1001023,1,1,26,0,0,1,0
0229000920100902,118,229,1000993,1001003,1,1,43,1,0,1,0
0229000920100902,126,229,1000993,1008921,1,1,0,0,0,0,0
0229000920100902,127,229,1000993,1000992,1,0,0,0,0,0,0
0229000920100902,133,229,1000993,1000992,1,0,0,0,0,0,0
0229000920100902,135,229,1000993,,1,0,0,0,1,0,0
0229000920100902,143,229,1000993,1016195,1,1,7,0,0,0,0
0229000920100902,145,229,1000993,1008921,1,1,7,0,0,0,0
0229000920100902,147,229,1000993,1008921,1,0,0,0,0,0,0
0229000920100902,151,9,1015271,1000084,1,0,0,0,0,0,0
0229000920100902,156,9,1015271,1030887,1,0,0,0,0,0,0
0229000920100902,157,9,1015271,1015306,1,0,0,0,0,0,0
0229000920100902,160,9,1015271,1000084,1,1,16,0,0,1,0
0654004720100902,5,47,1015521,1023174,1,1,18,0,0,1,0
0654004720100902,19,654,1021519,1029360,1,1,3,0,0,0,0
0654004720100902,21,654,1021519,1021522,1,1,10,0,0,1,0
0654004720100902,22,654,1021519,1014102,1,1,9,0,0,0,0
0654004720100902,24,654,1021519,1021522,1,1,11,0,0,1,0
0654004720100902,30,47,1015521,1031129,1,1,9,0,0,0,0
0654004720100902,32,47,1015521,1000282,1,0,0,0,0,0,0
0654004720100902,35,654,1021519,1014139,1,1,12,0,0,1,0
0654004720100902,37,654,1021519,1014139,1,0,0,0,0,0,0
0654004720100902,38,654,1021519,1021522,1,0,0,0,0,0,0
0654004720100902,45,47,1015521,1023151,1,1,6,0,0,1,0
0654004720100902,48,47,1015521,1023174,1,1,3,0,0,0,0
0654004720100902,50,47,1015521,1023165,1,0,0,0,0,0,0
0654004720100902,56,654,1021519,1021522,1,1,7,0,0,0,0
0654004720100902,59,47,1015521,1000282,1,0,0,0,0,0,0
0654004720100902,60,47,1015521,,1,0,0,0,1,0,0
0654004720100902,65,47,1015521,1015529,1,1,12,0,0,1,0
0654004720100902,69,47,1015521,1008200,1,0,0,0,0,0,0
0654004720100902,70,47,1015521,1023165,1,1,6,0,0,0,0
0654004720100902,90,47,1015521,1008200,1,1,14,0,0,1,0
0654004720100902,103,47,1015521,1023147,1,1,8,0,0,1,0
0654004720100902,112,654,1021519,1029360,1,0,0,0,0,0,0
0654004720100902,114,47,1015521,1023174,1,0,0,0,0,0,0
0654004720100902,118,47,1015521,1031129,1,0,0,0,0,0,0
0654004720100902,119,47,1015521,1023174,1,1,3,0,0,0,0
0654004720100902,122,654,1021519,1021522,1,1,17,0,0,1,0
0654004720100902,126,654,1021519,1014139,1,1,6,0,0,0,0
0654004720100902,128,654,1021519,1021522,1,1,10,0,0,1,0
0654004720100902,132,654,1021519,1014139,1,0,0,0,0,0,1
0654004720100902,133,654,1021519,1029360,1,0,0,0,0,0,0
