"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","1st Down","Sack","Fumble","Fumble Lost","Safety"
0108002820110901,3,108,1012393,1,5,0,1,0,0,0,0
0108002820110901,4,108,1012393,1,4,0,0,0,0,0,0
0108002820110901,5,108,1012393,1,1,0,0,0,0,0,0
0108002820110901,6,108,1027417,1,-2,0,0,1,0,0,0
0108002820110901,9,28,1022962,1,6,0,0,0,0,0,0
0108002820110901,10,28,1022962,1,2,1,0,0,0,0,0
0108002820110901,14,108,1035192,1,3,0,0,0,0,0,0
0108002820110901,17,108,1027417,1,-8,0,0,1,0,0,0
0108002820110901,18,108,1019885,1,5,0,0,0,0,0,0
0108002820110901,22,28,1022962,1,2,0,0,0,0,0,0
0108002820110901,23,28,1022962,1,3,0,0,0,0,0,0
0108002820110901,27,28,1022956,1,7,0,0,0,0,0,0
0108002820110901,29,28,1022962,1,2,1,0,0,0,0,0
0108002820110901,32,108,1027422,1,3,0,0,0,0,0,0
0108002820110901,33,108,1027417,1,0,0,0,0,0,0,0
0108002820110901,34,108,1027417,1,-9,0,0,1,0,0,0
0108002820110901,36,28,1015357,1,-6,0,0,0,0,0,0
0108002820110901,50,28,1022965,1,36,0,1,0,0,0,0
0108002820110901,53,28,1030934,1,0,0,0,0,0,0,0
0108002820110901,61,108,1042825,1,-5,0,0,0,0,0,0
0108002820110901,65,28,1030934,1,8,0,1,0,0,0,0
0108002820110901,67,28,1030934,1,7,0,0,0,0,0,0
0108002820110901,68,28,1030934,1,1,0,0,0,0,0,0
0108002820110901,71,108,1035192,1,2,0,0,0,0,0,0
0108002820110901,74,108,1019885,1,2,0,0,0,0,0,0
0108002820110901,81,28,1022956,1,18,0,0,0,0,0,0
0108002820110901,82,28,1022962,1,7,0,1,0,0,0,0
0108002820110901,96,28,1022962,1,1,0,0,0,0,0,0
0108002820110901,100,108,1027422,1,4,0,0,0,0,0,0
0108002820110901,104,28,1030934,1,15,0,1,0,0,0,0
0108002820110901,105,28,1030934,1,-1,0,0,0,0,0,0
0108002820110901,107,28,1030934,1,8,0,0,0,0,0,0
0108002820110901,108,28,1030934,1,4,0,1,0,0,0,0
0108002820110901,109,28,1030934,1,11,0,1,0,0,0,0
0108002820110901,110,28,1015327,1,0,0,0,0,0,0,0
0108002820110901,116,108,1035192,1,-4,0,0,0,0,0,0
0108002820110901,117,108,1027417,1,-9,0,0,1,0,0,0
0108002820110901,119,28,1030934,1,9,0,0,0,0,0,0
0108002820110901,120,28,1015327,1,7,0,1,0,0,0,0
0108002820110901,121,28,1030919,1,1,0,0,0,0,0,0
0108002820110901,123,28,1030919,1,11,0,1,0,0,0,0
0108002820110901,124,28,1030919,1,6,0,0,0,0,0,0
0108002820110901,125,28,1030919,1,0,0,0,0,0,0,0
0108002820110901,130,108,1012393,1,4,0,0,0,0,0,0
0108002820110901,131,108,1012393,1,5,0,0,0,0,0,0
0108002820110901,132,108,1012393,1,4,0,1,0,0,0,0
0108002820110901,134,108,1027422,1,2,0,0,0,0,0,0
0108002820110901,136,108,1019885,1,48,1,1,0,0,0,0
