"Team Code","Name","Conference Code"
5,"Akron",875
8,"Alabama",911
9,"UAB",24312
28,"Arizona State",905
29,"Arizona",905
30,"Arkansas State",818
31,"Arkansas",911
37,"Auburn",911
47,"Ball State",875
51,"Baylor",25354
66,"Boise State",5486
67,"Boston College",821
71,"Bowling Green",875
77,"BYU",99001
86,"Buffalo",875
96,"Fresno State",923
107,"California",905
110,"UCLA",905
128,"UCF",24312
129,"Central Michigan",875
140,"Cincinnati",823
147,"Clemson",821
156,"Colorado State",5486
157,"Colorado",905
164,"Connecticut",823
193,"Duke",821
196,"East Carolina",24312
204,"Eastern Michigan",875
229,"Florida Atlantic",818
231,"Florida International",818
234,"Florida State",821
235,"Florida",911
255,"Georgia Tech",821
257,"Georgia",911
277,"Hawai'i",923
288,"Houston",24312
295,"Idaho",923
301,"Illinois",827
306,"Indiana",827
311,"Iowa State",25354
312,"Iowa",827
327,"Kansas State",25354
328,"Kansas",25354
331,"Kent State",875
334,"Kentucky",911
365,"LSU",911
366,"Louisiana Tech",923
367,"Louisville",823
388,"Marshall",24312
392,"Maryland",821
404,"Memphis",24312
414,"Miami (Ohio)",875
415,"Miami (Florida)",821
416,"Michigan State",827
418,"Michigan",827
419,"Middle Tennessee",818
428,"Minnesota",827
430,"Mississippi State",911
433,"Mississippi",911
434,"Missouri",25354
457,"North Carolina",821
463,"Nebraska",827
465,"UNLV",5486
466,"Nevada",923
472,"New Mexico State",923
473,"New Mexico",5486
490,"North Carolina State",821
497,"North Texas",818
498,"Louisiana-Monroe",818
503,"Northern Illinois",875
509,"Northwestern",827
513,"Notre Dame",99001
518,"Ohio State",827
519,"Ohio",875
521,"Oklahoma State",25354
522,"Oklahoma",25354
528,"Oregon State",905
529,"Oregon",905
539,"Penn State",827
545,"Pittsburgh",823
559,"Purdue",827
574,"Rice",24312
587,"Rutgers",823
626,"San Diego State",5486
630,"San Jose State",923
648,"South Carolina",911
651,"South Florida",823
657,"USC",905
663,"SMU",24312
664,"Southern Mississippi",24312
671,"Louisiana-Lafayette",818
674,"Stanford",905
688,"Syracuse",823
690,"Temple",875
694,"Tennessee",911
697,"Texas A&M",25354
698,"TCU",5486
700,"Texas Tech",25354
703,"Texas",25354
704,"UTEP",24312
709,"Toledo",875
716,"Troy",818
718,"Tulane",24312
719,"Tulsa",24312
721,"Air Force",5486
725,"Army",99001
726,"Navy",99001
731,"Utah State",923
732,"Utah",905
736,"Vanderbilt",911
742,"Virginia Tech",821
746,"Virginia",821
749,"Wake Forest",821
