"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","Fumble","Fumble Lost","Safety","Fair Catch"
0128000520120830,18,128,1039025,0,0,0,0,0,0,1
0128000520120830,22,5,1022881,0,0,0,0,0,0,1
0128000520120830,58,5,1022881,1,-1,0,1,1,0,0
0128000520120830,69,128,1039025,1,20,0,0,0,0,0
0128000520120830,83,128,1039025,1,3,0,0,0,0,0
0128000520120830,88,5,1022881,1,-6,0,0,0,0,0
0128000520120830,149,5,1046121,0,0,0,0,0,0,1
0128000520120830,169,5,1046121,0,0,0,0,0,0,1
0128000520120830,175,128,1039025,1,50,0,0,0,0,0
0501002820120830,45,28,1025345,1,5,0,0,0,0,0
0501002820120830,63,28,1025345,0,0,0,0,0,0,1
0501002820120830,110,501,1021082,1,18,0,0,0,0,0
0501002820120830,155,28,1025345,1,8,0,0,0,0,0
0501002820120830,169,28,1025345,0,0,0,0,0,0,1
0501002820120830,173,501,1021082,0,0,0,0,0,0,1
0204004720120830,59,204,1039296,1,-4,0,0,0,0,0
0204004720120830,67,47,1023171,0,0,0,0,0,0,1
0204004720120830,87,204,1039296,0,0,0,0,0,0,1
0204004720120830,115,47,1023171,0,0,0,0,0,0,1
0204004720120830,139,47,1023171,1,11,0,0,0,0,0
0204004720120830,163,47,1023171,1,10,0,0,0,0,0
0204004720120830,190,204,1039296,0,0,0,0,0,0,1
0754007720120830,11,754,1026982,1,17,0,0,0,0,0
0754007720120830,160,77,1023326,0,0,0,0,0,0,1
0654012920120830,12,129,1023542,1,-1,0,0,0,0,0
0654012920120830,85,129,1023542,1,19,0,0,0,0,0
0400016420120830,5,164,1023691,1,-2,0,0,0,0,0
0400016420120830,28,164,1023691,1,34,0,0,0,0,0
0400016420120830,64,164,1023691,0,0,0,0,0,0,1
0400016420120830,107,164,1031652,1,21,0,0,0,0,0
0400016420120830,107,164,1039209,0,0,1,0,0,0,0
0400016420120830,118,164,1023691,0,0,0,0,0,0,1
0400016420120830,140,164,1023691,1,34,0,0,0,0,0
0207029520120830,13,207,1028954,0,0,0,0,0,0,1
0207029520120830,51,207,1028954,1,0,0,0,0,0,0
0207029520120830,74,207,1028954,0,0,0,0,0,0,1
0207029520120830,81,295,1024138,0,0,0,0,0,0,1
0207029520120830,91,207,1028954,0,0,0,0,0,0,1
0207029520120830,107,207,1028954,0,0,0,0,0,0,1
0207029520120830,127,207,1028954,0,0,0,0,0,0,1
0207029520120830,139,207,1028956,0,0,0,0,0,0,1
0207029520120830,158,207,1028954,1,-1,0,1,0,0,0
0711033120120830,42,331,1032331,0,0,0,0,0,0,1
0711033120120830,79,711,1022074,1,0,0,1,1,0,0
0402041920120830,35,419,1040317,1,25,0,0,0,0,0
0402041920120830,68,402,1043343,1,12,0,0,0,0,0
0402041920120830,110,419,1040317,1,1,0,0,0,0,0
0402041920120830,119,402,1043343,1,14,0,0,0,0,0
0402041920120830,123,419,1032742,1,0,0,1,1,0,0
0402041920120830,135,402,1043343,1,16,0,0,0,0,0
0428046520120830,24,465,1033001,1,8,0,0,0,0,0
0428046520120830,41,428,1017151,1,1,0,0,0,0,0
0428046520120830,45,465,1033001,0,0,0,0,0,0,1
0428046520120830,115,465,1033003,0,0,0,0,0,0,1
0428046520120830,122,428,1017151,1,3,0,1,1,0,0
0428046520120830,138,465,1033003,0,0,0,0,0,0,1
0428046520120830,143,428,1024889,1,9,0,0,0,0,0
0102047220120830,5,102,1042781,1,11,0,0,0,0,0
0102047220120830,39,102,1042781,1,8,0,0,0,0,0
0102047220120830,47,102,1042781,1,3,0,0,0,0,0
0102047220120830,123,102,1042781,1,-5,0,0,0,0,0
0102047220120830,138,102,1042781,1,20,0,0,0,0,0
0110057420120830,8,110,1038972,0,0,0,0,0,0,1
0110057420120830,23,110,1015801,0,0,0,0,0,0,1
0110057420120830,56,110,1023473,1,7,0,1,1,0,0
0110057420120830,124,574,1017081,0,0,0,0,0,0,1
0110057420120830,128,110,1038972,0,0,0,0,0,0,1
0110057420120830,132,574,1017081,0,0,0,0,0,0,1
0110057420120830,155,110,1038972,0,0,0,0,0,0,1
0667073120120830,23,731,1042188,1,30,0,0,0,0,0
0667073120120830,68,667,1050748,0,0,0,0,0,0,1
0667073120120830,74,731,1042188,0,0,0,0,0,0,1
0667073120120830,84,667,1050748,0,0,0,0,0,0,1
0667073120120830,128,731,1042188,0,0,0,0,0,0,1
0667073120120830,137,731,1042188,1,10,0,1,0,0,0
0667073120120830,148,731,1026777,0,0,0,0,0,0,1
0667073120120830,164,731,1042189,0,0,0,0,0,0,1
0502073220120830,19,502,1021117,0,0,0,0,0,0,1
0502073220120830,26,732,1050109,1,4,0,0,0,0,0
0502073220120830,69,732,1050109,1,4,0,0,0,0,0
0502073220120830,94,732,1042225,1,4,0,0,0,0,0
0502073220120830,113,732,1042225,1,0,0,0,0,0,0
0648073620120830,17,648,1033804,1,1,0,0,0,0,0
0648073620120830,33,648,1033804,0,0,0,0,0,0,1
0648073620120830,59,736,1026824,1,15,0,0,0,0,0
0648073620120830,97,648,1033804,1,16,0,0,0,0,0
0648073620120830,102,736,1026824,0,0,0,0,0,0,1
0648073620120830,117,736,1034727,0,0,0,0,0,0,1
0648073620120830,139,648,1033804,1,-2,0,0,0,0,0
0748022920120831,5,748,1050861,1,9,0,0,0,0,0
0748022920120831,50,748,1050849,1,7,0,0,0,0,0
0748022920120831,57,229,1023826,1,-5,0,1,1,0,0
0748022920120831,113,229,1023823,1,2,0,0,0,0,0
0066041620120831,5,416,1032671,0,0,0,0,0,0,1
0066041620120831,26,416,1032671,1,15,0,0,0,0,0
0066041620120831,73,66,1015590,1,17,0,0,0,0,0
0066041620120831,142,66,1015590,0,0,0,0,0,0,1
0066041620120831,148,416,1040261,0,0,0,0,0,0,1
0694049020120831,6,490,1025261,0,0,0,0,0,0,1
0694049020120831,11,694,1041659,1,5,0,0,0,0,0
0694049020120831,27,490,1025261,1,-4,0,0,0,0,0
0694049020120831,46,490,1025261,1,1,0,0,0,0,0
0694049020120831,67,694,1041659,0,0,0,0,0,0,1
0694049020120831,78,694,1041659,0,0,0,0,0,0,1
0694049020120831,125,694,1041659,0,0,0,0,0,0,1
0694049020120831,170,490,1025261,0,0,0,0,0,0,1
0630067420120831,21,674,1026167,1,2,0,0,0,0,0
0630067420120831,38,674,1026167,0,0,0,0,0,0,1
0630067420120831,43,630,1025900,0,0,0,0,0,0,1
0630067420120831,64,630,1025900,0,0,0,0,0,0,1
0630067420120831,74,674,1026167,1,17,0,0,0,0,0
0630067420120831,101,630,1025900,0,0,0,0,0,0,1
0630067420120831,120,630,1025900,0,0,0,0,0,0,1
0630067420120831,136,674,1026167,1,15,0,0,0,0,0
0630067420120831,152,674,1026167,0,0,0,0,0,0,1
0630067420120831,156,630,1025900,0,0,0,0,0,0,1
0630067420120831,160,674,1026167,0,0,0,0,0,0,1
0739069020120831,5,690,1026200,0,0,0,0,0,0,1
0739069020120831,44,690,1026200,1,12,0,0,0,0,0
0739069020120831,66,690,1026200,1,7,0,0,0,0,0
0739069020120831,125,690,1026200,0,0,0,0,0,0,1
0739069020120831,129,739,1044045,1,2,0,0,0,0,0
0739069020120831,137,690,1026200,1,45,0,0,0,0,0
0739069020120831,150,690,1026200,1,20,0,0,0,0,0
0418000820120901,5,418,1024795,0,0,0,0,0,0,1
