"Team Code","Game Code","Rush Att","Rush Yard","Rush TD","Pass Att","Pass Comp","Pass Yard","Pass TD","Pass Int","Pass Conv","Kickoff Ret","Kickoff Ret Yard","Kickoff Ret TD","Punt Ret","Punt Ret Yard","Punt Ret TD","Fum Ret","Fum Ret Yard","Fum Ret TD","Int Ret","Int Ret Yard","Int Ret TD","Misc Ret","Misc Ret Yard","Misc Ret TD","Field Goal Att","Field Goal Made","Off XP Kick Att","Off XP Kick Made","Off 2XP Att","Off 2XP Made","Def 2XP Att","Def 2XP Made","Safety","Points","Punt","Punt Yard","Kickoff","Kickoff Yard","Kickoff Touchback","Kickoff Out-Of-Bounds","Kickoff Onside","Fumble","Fumble Lost","Tackle Solo","Tackle Assist","Tackle For Loss","Tackle For Loss Yard","Sack","Sack Yard","QB Hurry","Fumble Forced","Pass Broken Up","Kick/Punt Blocked","1st Down Rush","1st Down Pass","1st Down Penalty","Time Of Possession","Penalty","Penalty Yard","Third Down Att","Third Down Conv","Fourth Down Att","Fourth Down Conv","Red Zone Att","Red Zone TD","Red Zone Field Goal"
5,0128000520120830,27,69,0,54,31,256,2,1,0,7,104,0,2,-7,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,4,167,3,135,0,0,0,3,3,39,37,6.0,16,2.0,10,0,0,1,0,6,12,1,1593,3,15,19,6,5,3,3,2,0
5,0005023120120908,34,98,0,54,27,313,5,1,1,1,16,0,5,107,0,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,0,38,10,420,7,369,1,0,0,0,0,54,30,7.0,27,3.0,13,0,1,3,0,7,13,2,1908,12,109,21,7,1,0,4,4,0
5,0446000520120915,38,188,2,59,44,565,6,2,0,1,41,0,3,10,0,1,29,1,0,0,0,0,0,0,2,1,9,9,0,0,0,0,0,66,1,54,11,617,6,0,0,1,1,42,14,7.0,19,1.0,6,0,2,2,0,12,29,2,1699,9,86,11,6,2,2,8,5,1
5,0005069420120922,26,115,1,49,27,229,0,3,0,4,77,0,1,4,0,0,0,0,1,44,1,0,0,0,4,4,2,2,0,0,0,0,0,26,5,227,7,396,2,1,0,0,0,62,30,5.0,19,0.0,0,2,1,4,0,5,12,1,1716,6,40,17,7,1,1,4,0,3
5,0414000520120929,26,183,3,43,32,446,4,1,0,4,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,49,4,192,8,463,3,2,0,0,0,53,19,6.0,21,2.0,15,0,0,4,0,8,19,1,1368,10,92,11,5,1,1,5,5,0
5,0071000520121006,26,88,0,50,29,228,1,0,0,4,68,0,2,-1,0,0,0,0,1,11,0,0,0,0,1,1,1,1,0,0,0,0,0,10,9,342,2,118,1,0,0,1,1,38,36,4.0,12,0.0,0,2,0,4,0,6,10,3,1608,8,55,18,6,1,0,2,1,0
5,0005051920121013,33,158,0,53,32,298,4,2,0,2,24,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,28,5,193,5,248,1,2,0,0,0,40,48,6.0,34,1.0,7,0,0,3,0,10,14,2,1614,7,55,18,9,3,1,4,4,0
5,0503000520121020,37,42,0,29,15,157,1,1,0,4,47,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,8,330,2,120,1,0,0,2,2,51,38,1.0,3,0.0,0,1,2,3,0,5,7,3,1619,7,67,14,5,0,0,1,1,0
5,0005012920121027,29,140,0,53,33,352,2,2,0,4,66,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,5,156,3,195,3,0,0,0,0,31,42,3.0,10,1.0,4,1,0,3,0,5,19,3,1679,8,64,16,6,2,0,4,2,0
5,0005033120121103,32,130,1,42,30,312,2,0,0,6,75,0,3,4,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,24,5,210,4,177,0,0,0,2,1,40,22,3.0,6,0.0,0,0,0,1,0,5,16,2,1864,8,76,16,8,2,1,2,1,1
